date,portfolio_return,spy_return
2016-07-18,0.0,-0.0010172406295776426
2016-07-19,0.0,0.004154447545289486
2016-07-20,0.0,-0.003784467303448835
2016-07-21,0.0,0.00447529652185974
2016-07-22,0.0,-0.0027197159553402628
2016-07-25,0.0,0.00046151353697343467
2016-07-26,0.0,-0.0010613116152224933
2016-07-27,0.0,0.0011536218237013784
2016-07-28,0.0,0.0016135970366466523
2016-07-29,0.0,-0.0008295931206623308
2016-08-01,0.0,-0.006428002423929158
2016-08-02,0.0,0.002918377513394965
2016-08-03,0.0,0.0010634770703150664
2016-08-04,0.0,0.008145879989289284
2016-08-05,0.0,-0.0005960012901304879
2016-08-08,0.0,0.0005960012901304879
2016-08-09,0.0,-0.0024783190704216196
2016-08-10,0.0,0.004629982903942675
2016-08-11,0.0,-0.0008691298020782057
2016-08-12,0.0,0.002879394924349299
2016-08-15,0.0,-0.005170994944899476
2016-08-16,0.0,0.0018795568052976108
2016-08-17,0.0,0.002241140453962842
2016-08-18,0.0,-0.0014632067686894956
2016-08-19,0.0,-4.573923456607787e-05
2016-08-22,0.0,0.002011613329617745
2016-08-23,0.0,-0.005128032984441866
2016-08-24,0.0,-0.0006888941046589991
2016-08-25,0.0,-0.0018850999299431237
2016-08-26,0.0,0.004912116264847555
2016-08-29,0.0,-0.001649948887310515
2016-08-30,0.0,-0.0028477468905965253
2016-08-31,0.0,4.5569178202420346e-05
2016-09-01,0.0,0.00449822957357604
2016-09-02,0.0,0.00301766044733931
2016-09-06,0.0,-9.16848506884449e-05
2016-09-07,0.0,-0.002285265891787347
2016-09-08,0.0,-0.024226193417598907
2016-09-09,0.0,0.014245824887311187
2016-09-12,0.0,-0.01448009940073991
2016-09-13,0.0,-0.00037534000661310074
2016-09-14,0.0,0.009943527682003683
2016-09-15,0.0,-0.003873062976743391
2016-09-16,0.0,0.0001874287437981792
2016-09-19,0.0,4.685169747453699e-05
2016-09-20,0.0,0.011182967605277483
2016-09-21,0.0,0.00628122115116625
2016-09-22,0.0,-0.005494175676949986
2016-09-23,0.0,-0.008135042204918896
2016-09-26,0.0,0.0061886723076067796
2016-09-27,0.0,0.004951481801004576
2016-09-28,0.0,-0.009088723704584467
2016-09-29,0.0,0.007517670409145971
2016-09-30,0.0,-0.0024066048139790297
2016-10-03,0.0,-0.0051110655951669415
2016-10-04,0.0,0.004415503177499502
2016-10-05,0.0,0.0006955624176674391
2016-10-06,0.0,-0.003435498444705587
2016-10-07,0.0,0.005194718533442888
2016-10-10,0.0,-0.012709920968757338
2016-10-11,0.0,0.00131097925144541
2016-10-12,0.0,-0.0032805507621009866
2016-10-13,0.0,0.000516131591047575
2016-10-14,0.0,-0.003478117222126542
2016-10-17,0.0,0.006242536393179954
2016-10-18,0.0,0.002663893299248876
2016-10-19,0.0,-0.001868663236911594
2016-10-20,0.0,0.00046730586526866347
2016-10-21,0.0,0.004243979114128216
2016-10-24,0.0,-0.0033562913640494685
2016-10-25,0.0,-0.0020096222686873944
2016-10-26,0.0,-0.0026705489516736236
2016-10-27,0.0,-0.002959759897123604
2016-10-28,0.0,4.7043478791586324e-05
2016-10-31,0.0,-0.007271823464376048
2016-11-01,0.0,-0.006036760159537913
2016-11-02,0.0,-0.004587759438716255
2016-11-03,0.0,-0.0011021193656794992
2016-11-04,0.0,0.021817196108124826
2016-11-07,0.0,0.00449407873708374
2016-11-08,0.0,0.010546006402111452
2016-11-09,0.0,0.002492791257234117
2016-11-10,0.0,-0.00230772243923294
2016-11-11,0.0,0.0007851113918313501
2016-11-14,0.0,0.007772733779073171
2016-11-15,0.0,-0.0018802808224700485
2016-11-16,0.0,0.005127333228558406
2016-11-17,0.0,-0.0022399588409038884
2016-11-18,0.0,0.0075229885567367205
2016-11-21,0.0,0.0019514898390200486
2016-11-22,0.0,0.0005438101302894793
2016-11-23,0.0,0.0037082224590161417
2016-11-25,0.0,-0.004705676227080069
2016-11-28,0.0,0.0019483297958418078
2016-11-29,0.0,-0.0024016131932897977
2016-11-30,0.0,-0.0036827917992665604
2016-12-01,0.0,0.0005012022547683515
2016-12-02,0.0,0.005990801569711657
2016-12-05,0.0,0.003162455483219695
2016-12-06,0.0,0.012995874890189718
2016-12-07,0.0,0.0024456038777644906
2016-12-08,0.0,0.0060225052169879945
2016-12-09,0.0,-0.0011486949287284887
2016-12-12,0.0,0.00665188459420385
2016-12-13,0.0,-0.008288395004203863
2016-12-14,0.0,0.004108543752180616
2016-12-15,0.0,-0.001957673731578069
2016-12-16,0.0,0.0021750090272840694
2016-12-19,0.0,0.003850136005533855
2016-12-20,0.0,-0.002786613028161966
2016-12-21,0.0,-0.0017287996738941658
2016-12-22,0.0,0.001463181954940218
2016-12-23,0.0,0.0024780820609704435
2016-12-27,0.0,-0.008298848494574962
2016-12-28,0.0,-0.0002228525946712523
2016-12-29,0.0,-0.003661585131700562
2016-12-30,0.0,0.007620592828312844
2017-01-03,0.0,0.005931604216727671
2017-01-04,0.0,-0.0007947621379482683
2017-01-05,0.0,0.0035713489424189504
2017-01-06,0.0,-0.0033060711508046126
2017-01-09,0.0,0.0
2017-01-10,0.0,0.002822060780491853
2017-01-11,0.0,-0.002512893595562282
2017-01-12,0.0,0.002292612769001501
2017-01-13,0.0,-0.003529698798264036
2017-01-17,0.0,0.0022076190096296244
2017-01-18,0.0,-0.0037116983758727073
2017-01-19,0.0,0.003667468689384279
2017-01-20,0.0,-0.0026052635082054465
2017-01-23,0.0,0.0063909074729542326
2017-01-24,0.0,0.008618205706789617
2017-01-25,0.0,-0.0010459096076473884
2017-01-26,0.0,-0.0015708410042343246
2017-01-27,0.0,-0.006221174123272277
2017-01-30,0.0,-8.783883075391685e-05
2017-01-31,0.0,0.000395369679688784
2017-02-01,0.0,0.0006588097400346271
2017-02-02,0.0,0.006869481980038117
2017-02-03,0.0,-0.0017895537457954802
2017-02-06,0.0,4.388398329346899e-05
2017-02-07,0.0,0.0013095958993778467
2017-02-08,0.0,0.005915157126807458
2017-02-09,0.0,0.00393809487939123
2017-02-10,0.0,0.005428095437937763
2017-02-13,0.0,0.003987435764623015
2017-02-14,0.0,0.0052066158483183855
2017-02-15,0.0,-0.000851986224022383
2017-02-16,0.0,0.0015752009963376779
2017-02-17,0.0,0.005937732493994652
2017-02-21,0.0,-0.0008882466446484827
2017-02-22,0.0,0.0006767880773006496
2017-02-23,0.0,0.0012680812027907606
2017-02-24,0.0,0.0015615462028639726
2017-02-27,0.0,-0.0027028368162538285
2017-02-28,0.0,0.01390042299787364
2017-03-01,0.0,-0.006317423155044466
2017-03-02,0.0,0.0006295950226054003
2017-03-03,0.0,-0.002982279767896223
2017-03-06,0.0,-0.00299157418592344
